Category,#,Item Name,Rarity,Description (from DCC lore),Current Effect In Game,Your Proposed Effect
WEAPONS,1,Toad Cudgel,uncommon,A warty club that secretes hallucinogenic slime,+12 STR to equipped card (whole battle),
WEAPONS,2,Velma the Flamethrower,legendary,A sentient flamethrower that whispers encouragement while incinerating things,+50 STR + adds fire cleave ability to equipped card,
WEAPONS,3,Enchanted Shuriken of Bloodlust,rare,Throwing stars that hunger for blood and return to the wielder,+20 STR to equipped card,
WEAPONS,4,Spunky Jefferson the Enchanted Nickel Sock of the Elderly Miser,epic,A sock full of nickels that hits surprisingly hard and steals gold,+35 STR to equipped card,
WEAPONS,5,Enchanted War Gauntlet of the Exalted Grull,epic,A massive armored fist that crackles with ancient power,+35 STR to equipped card,
WEAPONS,6,Slingshot,common,Simple but effective. David vs Goliath energy.,+12 STR to equipped card,
WEAPONS,7,Left Fang of the Green Sultan,legendary,One of a pair of legendary serpent fangs dripping with venom,+50 STR + adds poison DOT to attacks,
WEAPONS,8,Enchanted Repeating Crossbow of the Scavenger Mother,epic,Fires bolts endlessly without reloading,+35 STR to equipped card,
WEAPONS,9,Xistera,rare,A curved basket-scoop used to hurl projectiles at incredible speed,+20 STR to equipped card,
WEAPONS,10,Enchanted Shade Gnoll Riot Baton,rare,Standard-issue crowd control for dungeon security forces,+20 STR + stun chance on hit,
WEAPONS,11,Enchanted Fang Caps of the Expectorating Tizheruk,epic,Teeth caps that let you spit corrosive acid,+35 STR to equipped card,
WEAPONS,12,Stuffed Figure,uncommon,A creepy voodoo-style doll. Damage it and something else takes the pain.,+12 STR to equipped card,
WEAPONS,13,Carl's Crowbar,uncommon,The original. Bent but unbroken. Smells like desperation and cat hair.,+12 STR to equipped card,
WEAPONS,14,Donut's Tiara (upgraded),legendary,The royal tiara crackling with amplified magical energy,+50 INT to equipped card + spell damage bonus,
WEAPONS,15,Mongo's Tooth,rare,A shed raptor tooth the size of a dagger. Still sharp.,+20 STR to equipped card,
EXPLOSIVES,1,Carl's Jug O'Boom,legendary,Carl's signature improvised explosive. Devastating splash damage.,40 AoE to all enemies + fire DOT,
EXPLOSIVES,2,Goblin Dynamite,common,Crude but effective. Smells terrible.,16 AoE to all enemies,
EXPLOSIVES,3,Goblin Smoke Bomb,common,Fills the area with thick choking smoke,All enemies -40 DEX for 2 turns (reduces accuracy),
EXPLOSIVES,4,Hobgoblin Disco Ball,rare,Explodes into blinding light and confusing reflections,Stun all enemies for 1 turn,
EXPLOSIVES,5,Celestial Grenade,epic,A grenade blessed by the gods. Holy damage.,28 AoE to all enemies (holy type),
EXPLOSIVES,6,Mother of All Bombs (MOAB),legendary,The biggest boom in the dungeon. Use with caution.,40 AoE to ALL units (enemies AND allies),
EXPLOSIVES,7,Hobgoblin Detonator,uncommon,Remote-triggered explosive. Place and wait.,16 AoE to all enemies,
EXPLOSIVES,8,Bugbear Paste,common,Sticky flammable goo. Gross but effective.,16 AoE to all enemies + fire DOT 2 turns,
EXPLOSIVES,9,Spider Stalker,rare,A mechanical spider that crawls to its target and detonates,28 damage to single strongest enemy,
EXPLOSIVES,10,Waffle Maker,rare,Nobody knows why it explodes. But it does. Violently.,28 AoE to all enemies,
EXPLOSIVES,11,Satchel Bomb,uncommon,Standard military-grade explosive charge,16 AoE to all enemies,
EXPLOSIVES,12,Carl's Doomsday Scenario,legendary,The nuclear option. Carl's most dangerous creation.,60 damage to single target + 30 splash to adjacent,
EXPLOSIVES,13,Hobgoblin Dynamite,uncommon,Slightly better craftsmanship than goblin dynamite,16 AoE to all enemies,
EXPLOSIVES,14,Goblin Oil,common,Flammable oil that coats enemies,All enemies take +25% fire damage for 3 turns,
EXPLOSIVES,15,Shattering Train Bomb,rare,A bomb shaped like a tiny train. Choo choo boom.,28 AoE to all enemies,
POTIONS,1,Healing Potion,common,Standard red liquid. Tastes like cherries and hope.,Heal one card 20 HP,
POTIONS,2,Potion of Bloodlust,rare,Turns your vision red and your attacks savage,Target card +30 STR for 3 turns,
POTIONS,3,Iron Skin Potion,uncommon,Skin hardens to iron temporarily,Target card +30 CON for 3 turns,
